source_id,mode,page_count,candidates,selected,selected_labels,warning
2022-jour-2-lr-baccalaur-g-n-ral-2022-physique-chimie-mayotte-santorin,legacy_common_abc,18,4,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A. ARÔME DE VANILLE | EXERCICE B. SYNTHÈSE DU 2-MÉTHYLPROPAN-2-OL | EXERCICE C. DÉFIBRILLATEUR CARDIAQUE IMPLANTABLE,
2022-jour-1-po-baccalaur-g-n-ral-2022-physique-chimie-pf-1-114761pdf-9,legacy_common_abc,18,5,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A - UN TRACTEUR GRAVITATIONNEL POUR DÉVIER UN | EXERCICE B - ÉCLIPSE SOLAIRE DU 10 JUIN 2021 (5 points). | EXERCICE C - ACOUSTIQUE D’UNE SALLE (5 points).,
2022-jour-2-po-baccalaur-g-n-ral-2022-physique-chimie-pf-2-114764pdf-9,legacy_common_abc,15,4,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A - UN CAPTEUR CAPACITIF (5 points). | EXERCICE B - LA PLANÈTE MERCURE (5 points). | EXERCICE C - NOS OREILLES ON Y TIENT !,
2022-jour-2-me-baccalaur-g-n-ral-2022-physique-chimie-preuve-du-12-mai,legacy_common_abc,18,5,4,EXERCICE I commun à tous les candidats (10 points) | Exercice A - L’ARÔME DE VANILLE (5 points) | Exercice B - ENCRE ET EFFACEUR (5 points) | Exercice C – DES PILES HISTORIQUES (5 points),
2023-jour-1-g1-baccalaur-g-n-ral-2023-physique-chimie-133583pdf-98865,numbered,14,4,3,EXERCICE 1 - CONTROLE DE LA QUALITE D’UN BIBERON (9 points) | EXERCICE 2 - À LA RECHERCHE D’UNE AUTRE TERRE (6 points) | EXERCICE 3 – FOUR À CÉRAMIQUE (5 points),
2023-jour-2-g1-baccalaur-g-n-ral-2023-physique-chimie-133628pdf-98892,numbered,12,3,3,"EXERCICE 1 - PLONGEON DE HAUT VOL (11 points) | EXERCICE 2 – L’ÉRYTHROSINE, COLORANT ALIMENTAIRE (4,5 points) | EXERCICE 3 - L'ACÉTANILIDE, MÉDICAMENT ANTIPYRÉTIQUE (4,5 points)",
2023-jour-1-po-baccalaur-g-n-ral-2023-physique-chimie-133667pdf-98766,numbered,12,3,3,"EXERCICE 1 – UN CHIMISTE QUI MÉRITE D’ÊTRE CONNU : KARL FRIEDRICH | EXERCICE 2 – DOROTHY CROWFOOT, FEMME DE SCIENCES (6 points). | EXERCICE 3 – POMPE À CHALEUR ET HABITATION (5 points).",
2023-jour-2-po-baccalaur-g-n-ral-2023-physique-chimie-133697pdf-98817,numbered,11,3,3,EXERCICE 1 – AUTOUR DE LA BIOSYNTHÈSE DE LA MÉLANINE (9 points) | EXERCICE 2 – MICROPHONE ÉLECTROSTATIQUE (5 points) | EXERCICE 3 : PRINCIPE DE L’ACCÉLÉRATEUR DE VAN DE GRAAFF (6 points),
2023-jour-1-me-baccalaur-g-n-ral-2023-physique-chimie-1338350pdf-98583,numbered,14,3,3,EXERCICE 1 - À LA DÉCOUVERTE DE SATURNE (11 points) | EXERCICE 2 - SYNTHÈSE DE L’ARÔME DE BANANE (5 points) | EXERCICE 3 - UNE FORMULATION DE L’ASPIRINE (4 points),
2023-jour-2-me-baccalaur-g-n-ral-2023-physique-chimie-133958pdf-98739,numbered,9,3,3,EXERCICE 1 - ÉTUDE DE LA VITAMINE C CONTENUE DANS LES KIWIS (9 points) | EXERCICE 2 - PROTECTION DES CRAPAUDS (5 points) | EXERCICE 3 - MODÉLISATION D’UN DÉTECTEUR CAPACITIF D’HUMIDITÉ (6 points),
2023-jour-1-li-baccalaur-g-n-ral-2023-physique-chimie-134015pdf-98943,numbered,14,15,3,Exercice 1 | Exercice 2 | Exercice 3,
2023-jour-2-li-baccalaur-g-n-ral-2023-physique-chimie-134057pdf-98982,numbered,12,14,3,Exercice 1 | Exercice 2 | Exercice 3,
2022-jour-1-ja-bg-asiephys-chimjour-1sujet-22pycj1ja1pdf-96795,legacy_common_abc,18,5,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A - FORMULE 1 : FREINAGE EN LIGNE DROITE (5 points) | EXERCICE B - OBSERVATION DE LA DIVISION DE CASSINI (5 points) | EXERCICE C - L’EXPERIENCE DES TROUS D’YOUNG (5 points),
2022-jour-2-ja-bg-asiephys-chimjour-2sujet-22pycj2ja1pdf-96843,legacy_common_abc,14,5,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A – L’ACIDE FORMIQUE POUR STOCKER LE DIHYDROGENE ? (5 points) | EXERCICE B – SAVON DE MARSEILLE (5 points) | EXERCICE C – DISSOLUTION D’UNE COQUILLE D’ŒUF (5 points),
2021-jour-1-po-physique-chimie-baccalaureat-generalj1-21-pycj1po1pdf-9,legacy_common_abc,19,7,4,EXERCICE 1 commun à tous les candidats | exercice C | EXERCICE A | EXERCICE B,
2021-jour-1-an-pycj1an1pdf-91464,legacy_common_abc,15,18,4,Exercice 1 (obligatoire) | Exercice A (au choix) | Exercice B (au choix) | Exercice C (au choix),
2021-jour-2-an-pycj2an1pdf-91467,legacy_common_abc,16,19,4,Exercice 1 (obligatoire) | Exercice A (au choix) | Exercice B (au choix) | Exercice C (au choix),
2022-jour-1-an-sujet-22-pycj1an1-ann-et-rempl-pdf-96885,legacy_common_abc,23,24,4,Exercice 1 (obligatoire) | Exercice A (au choix) | Exercice B (au choix) | Exercice C (au choix),
